web-1  | "time": "2026-09-25T22:58:43+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "1441", "request_time": "0.073", "status": "200", "request": "GET /index.php HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:44+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "1469", "request_time": "0.018", "status": "200", "request": "POST /index.php?m=login&a=attemptLogin HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:44+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "716", "request_time": "0.015", "status": "200", "request": "GET /index.php?m=login&a=forgotPassword HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | 2026/09/25 22:58:44 [error] 7#7: *454 open() "/var/www/public/images/login.gif" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /images/login.gif HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.php?m=login&a=forgotPassword"
web-1  | 2026/09/25 22:58:44 [error] 7#7: *452 open() "/var/www/public/images/security.gif" failed (2: No such file or directory), client: 172.18.0.1, server: _, request: "GET /images/security.gif HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/index.php?m=login&a=forgotPassword"
web-1  | "time": "2026-09-25T22:58:45+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "291", "request_time": "0.015", "status": "200", "request": "POST /index.php?m=login&a=forgotPassword HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=login&a=forgotPassword", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:45+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "1441", "request_time": "0.015", "status": "200", "request": "GET /index.php HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:45+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "5", "request_time": "0.018", "status": "302", "request": "POST /index.php?m=login&a=attemptLogin HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:45+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3593", "request_time": "0.028", "status": "200", "request": "GET /index.php?m=home HTTP/1.1", "request_method": "GET", "http_referrer": "http://localhost:8080/index.php", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:46+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "21122", "request_time": "0.060", "status": "200", "request": "GET /index.php?m=graphs&a=miniPlacementStatistics&width=495&height=230 HTTP/1.1", "request_method": "GET", "http_referrer": "http://localhost:8080/index.php?m=home", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:46+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3593", "request_time": "0.033", "status": "200", "request": "GET /index.php?m=home HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
